,unicode_char,frequency
0,С,614505
1,Ћ,22387
2,Р,1294753
3,»,82103
4,–,11677
5,‡,22409
6,Њ,27675
7,є,104709
8,°,207773
9,ю,236311
10,л,797367
11,і,59141
12,ч,204339
13,ь,254435
14,к,927115
15,а,1942387
16,Ђ,81365
17,ѕ,93427
18,µ,83149
19,в,559965
20,„,38201
21,І,65101
22,ї,145025
23,р,747235
24,о,907909
25,е,831221
26,№,33021
27,п,419097
28,д,395567
29,н,884135
30,и,930051
31,я,491205
32,Б,28563
33,э,31277
34,т,651009
35,й,228469
36,ц,116877
37,у,441537
38,Џ,55471
39,Ѓ,66045
40,‚,69659
41,ѓ,49685
42,±,25419
43,с,626523
44,б,250633
45,м,518227
46,г,235479
47,ё,125079
48,ш,280023
49,Ѕ,203955
50,Ф,39737
51,ф,263267
52,ж,80669
53,О,74545
54,ы,185141
55,П,42187
56,А,188589
57,Л,81637
58,Д,56115
59,И,81783
60,Н,84607
61,Ч,19123
62,Ь,21717
63,К,104133
64,щ,90963
65,В,83179
66,з,152181
67,Е,68417
68,Я,48651
69,Ð,59
70,¹,49
71,Ñ,243
72,†,16783
73,ƒ,29
74,Ы,20061
75,Г,34917
76,х,98801
77,‹,22411
78,Т,65849
79, ,9239
80,Ў,9755
81,”,8575
82,ќ,9935
83,¦,2167
84,—,5111
85,…,12839
86,ђ,21693
87,ґ,44833
88,‰,13765
89,М,68089
90,У,38587
91,З,19557
92,Й,18615
93,Ç,83
94,Ш,29595
95,›,8835
96,Щ,11709
97,љ,12661
98,ћ,8805
99,‘,6487
100,њ,8915
101,©,2501
102,¤,5741
103,ј,54545
104,Ц,12031
105,·,15783
106,Ж,10851
107,Ќ,2459
108,¶,8981
109,ъ,5517
110,´,83
111,§,4115
112,€,32819
113,í,249
114,æ,283
115,­,673
116,“,5403
117,Ю,23007
118,�,443
119,Х,12057
120,Ъ,713
121,•,8865
122,џ,5327
123,ö,3403
124,Ё,6929
125,ў,8107
126,’,10451
127,ä,2685
128,™,2833
129,®,3359
130,Ї,5857
131,Љ,883
132,Э,6531
133,¬,3391
134,Ј,4505
135,ı,1745
136,ñ,4501
137,,9793
138,«,2521
139,Є,477
140,å,481
141,Ґ,1427
142,ç,1937
143,à,1519
144,英,55
145,文,35
146,字,29
147,母,5
148,上,81
149,外,83
150,语,63
151,热,125
152,线,113
153,ü,3997
154,ş,603
155,á,635
156,请,1
157,验,1
158,码,9
159,确,1
160,认,3
161,密,3
162,é,3747
163,Ҳ,7
164,Ô,19
165,û,19
166,õ,49
167,è,1001
168,Ý,27
169,ã,227
170,º,129
171,č,155
172, ,22139
173,超,3
174,级,19
175,玛,1
176,丽,413
177,，,167
178,ě,41
179,š,171
180,ř,31
181,！,295
182,þ,91
183,我,33
184,是,65
185,张,83
186,小,25
187,宝,21
188,李,87
189,阳,123
190,ž,61
191,£,177
192,¨,39
193,³,103
194,ف,35
195,ش,237
196,ه,87
197,ب,111
198,ű,5
199,ó,241
200,¢,31
201,ù,169
202,Ú,51
203,÷,83
204,¾,27
205,Û,7
206,Õ,19
207,赤,21
208,壁,29
209,钓,21
210,鱼,37
211,任,33
212,务,21
213,在,83
214,那,3
215,接,11
216,陈,65
217,佳,63
218,。,73
219,¥,11
220,－,115
221,杨,7
222,洋,7
223,；,29
224,日,95
225,发,19
226,帖,1
227,园,3
228,⑧,3
229,②,3
230,⑤,3
231,⑨,3
232,①,1
233,？,93
234,花,13
235,满,39
236,楼,9
237,公,41
238,子,77
239,博,63
240,客,95
241,梅,1
242,易,5
243,术,5
244,ł,89
245,机,11
246,矴,5
247,,3
248,ß,549
249,姚,1
250,明,17
251,受,9
252,伤,3
253,了,9
254,吗,3
255,游,23
256,戏,19
257,ð,21
258,ú,101
259,天,79
260,爱,67
261,、,5
262,：,5
263,学,59
264,周,9
265,飞,1
266,猪,1
267,ʕ,1
268,ᴥ,1
269,～,15
270,ٵ,1
271,뿰,1
272,הּ,1
273,㠝,1
274,●,817
275,Ø,121
276,¸,111
277,Ù,55
278,ظ,7
279,ث,85
280,ق,67
281,م,181
282,怎,7
283,么,21
284,Ó,47
285,安,11
286,局,21
287,正,7
288,长,35
289,王,157
290,野,47
291,며,1
292,鬫,1
293,袰,1
294,鸭,1
295,󩱳,1
296,ø,605
297,멲,1
298,᧍,1
299,ϵ,3
300,ͳ,3
301,ì,137
302,ò,199
303,喜,3
304,欢,1
305,水,1
306,手,5
307,的,335
308,大,103
309,海,47
310,尺,1
311,寸,1
312,不,73
313,告,17
314,诉,1
315,你,21
316,该,1
317,办,1
318,×,15
319,堂,35
320,３,1
321,猫,115
322,Î,7
323,â,279
324,귳,3
325,릭,1
326,真,69
327,心,127
328,可,1
329,以,1
330,￡,39
331,Ã,51
332,如,13
333,何,13
334,߱,1
335,󡯍,1
336,ا,323
337,ل,215
338,ع,59
339,و,79
340,ر,95
341,ý,53
342,ѱ,7
343,ɭ,7
344,悦,3
345,񯭠,1
346,,1
347,嗯,1
348,ś,37
349,ŉ,1
350,婷,1
351,草,3
352,一,17
353,片,203
354,青,15
355,瓷,3
356,于,3
357,只,5
358,限,1
359,Å,39
360,,213
361,乞,1
362,力,7
363,马,25
364,扎,1
365,罗,1
366,詹,1
